days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
1240,9199,199,20804,369,8986,35
1241,9210,199,20824,370,9031,35
1242,9226,200,20831,371,9069,35
1243,9245,200,20843,371,9109,35
1244,9257,201,20868,371,9166,35
1245,9259,201,20877,373,9209,35
1246,9264,201,20890,374,9242,36
1247,9272,201,20906,374,9254,36
1248,9274,201,20914,375,9278,36
1249,9276,201,20931,376,9310,36
1250,9288,201,20939,377,9357,36
1251,9294,201,20951,377,9382,36
1252,9297,201,20960,377,9409,36
1253,9297,201,20969,379,9428,36
1254,9309,201,20985,379,9441,36
1255,9314,201,20998,379,9469,36
1256,9330,202,21004,379,9486,36
1257,9335,202,21025,380,9497,36
1258,9347,203,21039,381,9502,36
1259,9348,203,21055,382,9517,36
1260,9352,203,21064,382,9533,36
1261,9363,203,21073,382,9544,36
1262,9381,205,21082,383,9561,36
1263,9399,205,21095,383,9582,36
1264,9414,205,21108,383,9597,36
1265,9417,205,21121,384,9625,36
1266,9419,205,21132,384,9658,36
1267,9423,205,21145,385,9689,36
1268,9448,205,21159,387,9695,36
1269,9462,205,21182,387,9740,36
1270,9476,205,21195,387,9779,36
1271,9493,205,21206,388,9823,36
1272,9514,206,21216,390,9850,36
1273,9515,206,21233,392,9905,37
1274,9518,206,21254,392,9941,37
1275,9543,208,21282,393,9952,37
1276,9554,208,21307,393,9981,37
1277,9567,208,21320,394,10006,37
1278,9574,208,21341,394,10052,37
1279,9582,208,21357,395,10108,37
1280,9585,208,21371,395,10159,37
1281,9585,208,21432,395,10190,37
1282,9595,208,21482,395,10194,37
1283,9603,208,21539,395,10246,37
1284,9618,209,21615,396,10292,37
1285,9637,210,21663,397,10393,37
1286,9642,210,21678,397,10445,37
1287,9644,210,21681,397,10488,37
1288,9644,210,21691,397,10495,37
1289,9657,210,21698,397,10510,37
1290,9666,210,21747,397,10543,37
1291,9686,210,21762,398,10585,37
1292,9704,210,21773,398,10617,37
1293,9715,211,21816,399,10656,37
1294,9720,211,21834,400,10687,37
1295,9723,211,21849,402,10736,38
1296,9748,211,21866,403,10745,38
1297,9759,211,21882,404,10798,38
1298,9767,211,21895,405,10830,38
1299,9771,211,21907,407,10896,38
1300,9782,212,21936,407,10964,38
1301,9783,212,21968,408,11014,38
1302,9785,212,21980,411,11036,38
1303,9804,212,21998,413,11075,38
1304,9811,212,22016,415,11108,38
1305,9822,212,22034,417,11129,38
1306,9832,212,22050,419,11184,38
1307,9840,212,22063,421,11206,38
1308,9843,212,22079,421,11247,38
1309,9843,212,22112,423,11255,38
1310,9849,212,22138,423,11266,38
1311,9857,212,22166,426,11293,38
1312,9874,212,22181,427,11321,38
1313,9896,213,22197,429,11365,38
1314,9902,213,22205,430,11411,38
1315,9905,213,22217,431,11459,38
1316,9908,213,22233,434,11480,38
1317,9912,213,22248,437,11490,38
1318,9927,215,22260,439,11519,38
1319,9941,215,22269,444,11549,38
1320,9964,215,22285,444,11603,38
1321,9987,217,22306,444,11647,38
1322,9991,217,22331,446,11682,38
1323,9993,217,22345,446,11702,38
1324,10008,218,22386,447,11712,38
1325,10041,218,22417,447,11746,38
1326,10058,218,22431,448,11775,38
1327,10063,218,22450,452,11799,38
1328,10069,218,22465,454,11843,38
1329,10070,218,22477,456,11878,38
1330,10071,218,22491,456,11902,38
1331,10076,218,22514,458,11917,38
1332,10097,218,22565,459,11943,38
1333,10116,219,22580,459,11977,38
